Timestamp,L1-dcache-load-misses,instructions,l2_rqsts.miss,branch-misses,cycles,LLC-load-misses
     0.160146400,6270138,788391285,5612695,3435382,923988598,347510
     0.320370553,5118165,1136451940,4226388,1400716,1023609645,68935
     0.480561970,4340674,1418817967,4984832,946850,857728835,56364
     0.640750719,4623985,1335913467,5093452,970183,858049999,63614
     0.800946215,4683254,1285271058,4785286,902865,851513454,44598
     0.961150365,4943563,1137059765,4842773,820195,844557950,65858
     1.121353763,5083116,1216053697,6158907,873934,851544920,69777
     1.281551316,4464434,1380105761,5159508,967055,854475705,61985
     1.441751954,4524868,1348538943,5003597,917954,855916852,63634
     1.604472078,4665679,1340616194,5132480,924885,867409236,65587
     1.764671586,4385177,1360418780,5058185,935251,856042893,62038
     1.924892107,4879877,1284285399,4970831,916118,853784185,61532
     2.085082292,4591444,1331254575,4645139,909762,850378136,49851
     2.245288610,4286338,1420285007,4789184,972919,857821402,59292
     2.405488378,5367768,1107351025,4835550,848524,847923675,50484
     2.565694603,4494272,1370250031,4840919,944469,854418069,59268
     2.725901125,5305467,1122909545,4378861,838317,850512436,64206
     2.886108659,4483778,1354917857,4821904,943141,853784561,65913
     3.046303840,4840404,1278358305,6704226,932629,856315232,77804
     3.206502561,4245323,1415062381,4891376,944105,854716557,55025
     3.366749431,4475199,1395919708,5410489,947288,856029886,65199
     3.526956872,4285633,1410041394,5052788,958672,855826710,60505
     3.687181157,4024689,1231036562,4402882,842303,776267224,49009
     3.847473228,3490310,1146511969,3973150,778527,691562644,44071
     4.007683061,3567997,1121992223,4272833,765498,686557982,52197
     4.167914350,3960755,980770333,4070525,712835,687977335,45404
     4.328108057,3856885,1144384482,4272285,800808,720429902,44704
     4.488315535,3578773,1119049716,4049237,782188,701176096,44042
     4.648535937,3895868,1095203227,3947267,783993,711151259,49444
     4.808747386,3522915,1136640857,4094582,773268,695334413,54617
     4.968961934,3738149,1086667491,4837087,751954,693378413,59249
     5.129175522,3838072,1093822205,5267129,745610,698129232,51205
     5.289416185,3531656,1142581718,4118419,748782,695294634,44773
     5.449629966,3522724,1156747515,4083736,774681,699130833,51199
     5.609843012,3532181,1133323946,4071408,767753,703134298,47303
     5.770054401,3949907,1099446737,4053371,771981,716216063,44140
     5.930260605,3888402,1098408633,4462664,779321,719917403,51819
     6.090476044,3576032,1149218386,4021148,767422,705396533,46481
     6.250686714,3556411,1145528677,4186802,779705,704040377,50352
     6.410912593,4006921,1053527377,4234804,752127,709904547,49665
     6.571098804,4250371,1087317082,4218576,789436,742551827,55505
     6.731315115,4157853,1073125717,4144695,751574,732199069,44419
     6.891535699,4156136,1069811423,4025570,773808,725241146,48769
     7.051744457,5155883,844074457,4008693,670646,747288426,55867
     7.211931331,4101984,1139579093,4384211,770902,747682661,50573
     7.372151235,3819925,1077230271,4298054,752235,700295165,50388
     7.532350012,3891855,1126744084,4102569,761799,722403033,46409
     7.692580853,3888529,1109810056,4527259,780322,702961730,48542
     7.852805115,3853921,1091891377,4116116,804254,708080471,57420
     8.012998037,3941226,1107801514,4484917,776651,729711004,49776
     8.173216080,3514098,1155369253,4154263,802492,698162965,54814
     8.333444002,3932065,1101669998,4129348,757999,717099486,36873
     8.493665304,3515350,1166137624,3941619,781401,700711542,45136
     8.653897402,3596544,1164946322,3953597,779695,699157849,54778
     8.814118160,3653217,1140314445,4163160,768248,700625498,59711
     8.974330335,3722839,1090069539,4678834,763703,696486892,69039
     9.134539980,3909144,1066642865,4352686,745177,699432597,59786
     9.294748465,3654026,1111520044,4423830,769660,699390465,60717
     9.454948131,4419163,1046070772,4237580,768612,740788209,54739
     9.615161501,3522361,1143986346,4156582,731195,699333623,50442
     9.775368733,3768502,1092827637,4189761,767375,700330472,55310
     9.935584272,3776949,1155960012,4254770,805523,709695266,50112
    10.095801963,3482115,1141596429,4039169,769759,697104437,44854
    10.256015542,3770904,1117560938,4210938,770452,707934549,49019
    10.416240260,3909333,1110269652,4269584,775596,715834413,40629
    10.576474513,3777051,1136127408,4071999,800224,712220228,48274
    10.736683515,3779613,1136576280,4031907,786871,713939717,45246
    10.896911530,3669992,1125689315,4216241,784987,707586185,54085
    11.057099147,4040833,1033489942,5803388,757206,692964909,63737
    11.217294010,4036421,1092393340,3984214,759161,711377241,41059
    11.377480633,4202345,1067575608,4322716,768195,735488391,49732
    11.537687837,4397168,1055141234,4280329,787128,733087882,44759
    11.697904594,3833751,1132972684,4012246,761037,719557910,43100
    11.858118512,3695315,1134394710,4197569,789060,714006073,45875
    12.018338075,3602531,1152005451,4153508,760265,699429763,46768
    12.178574730,3705526,1142155730,4258834,750894,700785068,44932
    12.338795672,3735968,1134703183,4209071,788958,709853445,43659
    12.499004256,3576719,1167337219,3998753,782110,702420962,50578
    12.659206383,3413197,1169390877,3855568,767734,700659641,50395
    12.819431285,3500666,1160987704,3955626,774050,699566326,49851
    12.979658673,3932142,1085178428,4813895,765928,700328981,56889
    13.139884759,4087998,1074502251,5179973,754031,702017145,51127
    13.300108325,4071496,1083715298,4335352,765369,711367870,46700
    13.460320619,4229592,1015104733,3994446,762152,717574165,53931
    13.620535233,3731873,1166982219,4233998,766897,712608901,51603
    13.780758040,3592657,1160429772,4056847,810611,704109596,52409
    13.940969742,4253800,1004422816,3836221,724387,715224753,39719
    14.101174982,3693828,1196767347,4288522,829214,722218146,44259
    14.261398467,3561348,1153293753,4201074,763757,700197058,47063
    14.421606159,3752137,1129481804,3952719,772792,700964148,50501
    14.581823921,3628985,1164314688,4091850,794121,704960203,44971
    14.742040086,3867549,1137894708,4095701,773266,714762738,48319
    14.902263453,4222145,990776717,3774545,699402,701735946,36316
    15.062451326,4239359,1069330916,5832850,762622,715194516,74876
    15.222667078,3549742,1116264083,3969433,771856,698791155,49261
    15.382852198,3966482,1112134796,4336058,770707,716951188,44906
    15.543083679,4034634,1058605333,4038071,760283,705381105,44925
    15.703273839,3827600,1150384190,4404174,802717,721373261,43697
    15.863493135,3693697,1118565976,4070514,756694,699100118,40966
    16.023699248,3698468,1131940477,4180478,789391,708287669,46766
    16.183912764,3971381,1103726386,3997628,806670,717920029,48862
    16.344127325,3645922,1154468245,4007682,786206,700036255,47261
    16.504338479,3571862,1169360906,4011133,792910,703833849,57733
    16.664563017,3549333,1162640512,3958818,771023,699809007,54307
    16.824775101,4079882,1077940124,3964702,755579,716683800,54274
    16.984987996,3665323,1130485638,4723211,766027,706361897,61899
    17.145201067,4225454,1061993241,5219331,773587,710491292,61261
    17.305430066,3896216,1090949793,4239124,758897,712014350,50227
    17.465605225,4141768,1063300284,3879366,755576,729103866,41202
    17.625821581,3529192,1174329292,3979184,770255,704101475,50902
    17.786032266,3639835,1130415665,4148941,782134,702782866,62720
    17.946244370,4906979,947062640,4035229,725991,751660778,43425
    18.106512770,4661557,1059408419,4215451,798166,755080547,47604
    18.266705641,3742707,1139797283,3891447,784216,715067903,56635
    18.426938751,3634099,1166450643,4097697,791159,708263358,61634
    18.587156085,3735082,1140583242,3987901,771307,709230379,55299
    18.747382392,3584950,1152334072,3831322,773052,697686771,50920
    18.907584237,4161004,1042448649,3862495,770755,719970487,47433
    19.067794148,4144217,1050721126,5016217,784826,712833824,69067
    19.227980077,4248958,1077580979,4040081,769059,729818461,45135
    19.388199793,3729587,1141667328,4134159,750539,699344795,40239
    19.548415650,3788892,1109053628,4007173,758930,703910087,51384
    19.708624575,3647640,1163908621,4125039,781728,706466584,46245
    19.868841619,3529832,1158550210,3987328,766478,699028759,48521
    20.029052657,3678668,1124457268,3950413,782998,697149801,47837
    20.189256640,5221160,897428913,3855848,702084,755262349,36295
    20.349457883,3824230,1216946436,4156625,838931,738519289,45397
    20.509669180,3890479,1096581653,3934651,789685,707277325,44359
    20.669878268,4010614,1122678385,4099575,786511,724593651,53545
    20.830096761,3961781,1091382345,3913089,771335,716703150,52041
    20.990292726,3319576,988797134,4156645,697379,623845067,78829
    21.150455646,2027866,651594955,2354569,500416,413101025,29526
    21.310614125,1971747,666596166,2258936,494278,423062016,19472
    21.470790381,2070712,677680063,2471320,515064,428241129,27587
    21.630958479,1911752,683289095,2158847,498718,423277052,14099
    21.791172541,2019709,672793769,2306978,511228,422403511,18980
    21.951339043,1914598,685401875,2191084,500285,424271965,17109
    22.111494835,2071569,658099597,2387626,502640,420064085,19867
    22.271686568,1985730,688893485,2311036,523356,425940849,17096
    22.431943533,2021288,679318913,2235868,507881,424396046,13703
    22.592112507,1950817,685007243,2285260,525168,426227780,19483
    22.752287968,1965214,673124303,2338110,499385,422355006,19375
    22.912476020,1959719,673585700,2314120,496893,417903432,19718
    23.072605626,69843,13343673,69132,11548,8999182,13283
    23.146124528,110219,4791170,141920,21451,4914016,28073
